wallet,num_held,percent_ownership
0x7c00c9f0e7aed440c0c730a9bd9ee4f49de20d5c,21,0.018699910952804988
0x105be89d26f718b27971d1f2f2a4f082752fed4e,17,0.015138023152270703
0x652aa165ee33ba02570c4fc7d41b0a05b4fd8147,16,0.014247551202137132
0x0770c8d3054d784c42e8010265d8c9ecda5a136b,15,0.013357079252003561
0x2e0d63ffcb08ea20ff3acdbb72dfec97343885d2,15,0.013357079252003561
0xfc576e579aacc0e122f1ac84e3f7f64b2ea31383,15,0.013357079252003561
0x7696a27e0e266e5a5b62aa9521a7061484bc0452,13,0.01157613535173642
0x729fc2d1ed7b062a3f6723c2565932fb4498a77d,12,0.01068566340160285
0x36187980d6e1d0190f0e69ddf0b56a4473534239,10,0.008904719501335707
0x3a465b0701e9f3b405af6c1f4ddfaf6a3471d87c,10,0.008904719501335707
0xb9433fd97274c124fff197f78e1c8b0299b3dd9f,9,0.008014247551202136
0x39e6e8f6938a819d52be235ff9dd5fdf0a8a422d,9,0.008014247551202136
0xb69902082f133ac170504402fc018075b7e98885,9,0.008014247551202136
0x80c1d6787429cb46a736a7b64b4c0da4bbaf777c,8,0.007123775601068566
0x07ab86707f7ac092028a8a1b747f23a2adddeded,8,0.007123775601068566
0x58314812b99ce3bd311a820362906e57025e864d,7,0.006233303650934996
0x5ccf647b54986ecf5e97acca14cbd8fe1fc2509b,7,0.006233303650934996
0x46d4c16a65c66bf2d446789974f9a86d9bf7783d,7,0.006233303650934996
0xac832857ace7bbe40d94987c76f985f8d6fa0038,7,0.006233303650934996
0x45cbcbed41bc6708ae460afed86e61a02cae4f1c,7,0.006233303650934996
0xa671b4566810f22cc67ff7c52e6f7c0959880af8,7,0.006233303650934996
0x8c646af13f0e5025ae520b8cab3c605ddd4f9f6b,7,0.006233303650934996
0xe0ec9898542e77613b4c370495b0cf32fd4800c0,7,0.006233303650934996
0xb4e327390bcb6d1cfd74bdceadf47b20b937dbdd,7,0.006233303650934996
